,No answer,a few days or more,within a day,within a few hours,within an hour
0,1,0,0,0,0
1,0,0,0,0,1
2,0,0,0,0,1
3,0,0,0,1,0
4,1,0,0,0,0
5,0,0,0,0,1
6,0,0,0,0,1
7,0,0,0,0,1
8,0,0,0,1,0
9,1,0,0,0,0
10,0,0,0,0,1
11,0,1,0,0,0
12,0,0,0,0,1
13,0,0,0,0,1
14,0,0,0,0,1
15,0,0,0,0,1
16,0,0,0,0,1
17,1,0,0,0,0
18,0,0,0,0,1
19,1,0,0,0,0
20,0,0,0,0,1
21,0,0,0,1,0
22,0,0,0,1,0
23,0,0,1,0,0
24,0,0,1,0,0
25,0,0,0,0,1
26,0,0,0,0,1
27,0,0,0,0,1
28,0,0,0,0,1
29,0,0,0,0,1
30,0,0,0,0,1
31,0,0,0,0,1
32,0,0,1,0,0
33,0,0,0,0,1
34,0,0,0,0,1
35,0,0,0,0,1
36,1,0,0,0,0
37,0,0,0,1,0
38,0,0,0,0,1
39,0,0,0,0,1
40,0,0,1,0,0
41,0,1,0,0,0
42,1,0,0,0,0
43,0,0,0,0,1
44,1,0,0,0,0
45,0,0,0,0,1
46,1,0,0,0,0
47,0,0,0,0,1
48,0,0,0,0,1
49,0,0,0,0,1
50,1,0,0,0,0
51,0,0,0,0,1
52,0,0,0,0,1
53,0,0,0,0,1
54,0,0,0,0,1
55,1,0,0,0,0
56,0,0,1,0,0
57,1,0,0,0,0
58,0,0,0,0,1
59,1,0,0,0,0
60,0,0,0,0,1
61,0,0,0,0,1
62,1,0,0,0,0
63,0,0,1,0,0
64,0,0,1,0,0
65,0,0,0,0,1
66,0,0,0,0,1
67,0,0,0,0,1
68,1,0,0,0,0
69,0,0,0,1,0
70,1,0,0,0,0
71,1,0,0,0,0
72,1,0,0,0,0
73,1,0,0,0,0
74,1,0,0,0,0
75,0,0,1,0,0
76,0,0,0,0,1
77,0,0,0,0,1
78,0,0,1,0,0
79,0,0,0,0,1
80,0,0,0,1,0
81,0,0,1,0,0
82,0,0,0,0,1
83,0,0,0,0,1
84,0,0,0,0,1
85,0,0,0,0,1
86,0,0,0,1,0
87,0,0,0,1,0
88,0,0,0,1,0
89,0,0,0,0,1
90,0,0,0,0,1
91,0,0,1,0,0
92,0,0,1,0,0
93,0,0,0,0,1
94,0,0,0,0,1
95,0,0,0,1,0
96,0,0,0,0,1
97,0,0,0,0,1
98,0,0,0,0,1
99,0,0,0,0,1
100,0,0,0,1,0
101,0,0,0,0,1
102,0,0,0,0,1
103,1,0,0,0,0
104,0,0,0,0,1
105,0,0,0,0,1
106,1,0,0,0,0
107,0,0,0,1,0
108,0,0,0,1,0
109,0,0,0,0,1
110,0,0,0,0,1
111,0,0,0,1,0
112,1,0,0,0,0
113,1,0,0,0,0
114,0,0,0,0,1
115,0,0,0,0,1
116,0,0,1,0,0
117,0,0,0,1,0
118,0,0,0,0,1
119,1,0,0,0,0
120,0,0,0,0,1
121,1,0,0,0,0
122,1,0,0,0,0
123,1,0,0,0,0
124,0,0,0,1,0
125,0,0,0,0,1
126,0,0,0,0,1
127,0,0,0,0,1
128,1,0,0,0,0
129,0,0,0,0,1
130,0,0,0,0,1
131,0,0,0,0,1
132,0,0,0,0,1
133,0,0,0,1,0
134,1,0,0,0,0
135,0,0,0,1,0
136,1,0,0,0,0
137,0,0,0,0,1
138,1,0,0,0,0
139,1,0,0,0,0
140,0,0,1,0,0
141,1,0,0,0,0
142,0,0,0,0,1
143,0,0,0,0,1
144,0,0,0,0,1
145,0,0,0,1,0
146,0,0,0,0,1
147,0,0,0,1,0
148,1,0,0,0,0
149,1,0,0,0,0
150,0,0,1,0,0
151,1,0,0,0,0
152,0,0,0,1,0
153,0,0,0,0,1
154,0,0,1,0,0
155,0,0,0,1,0
156,0,0,0,1,0
157,0,0,0,0,1
158,0,0,0,0,1
159,0,0,1,0,0
160,0,0,0,0,1
161,0,0,0,1,0
162,0,0,1,0,0
163,0,0,0,0,1
164,0,0,0,0,1
165,1,0,0,0,0
166,1,0,0,0,0
167,0,0,0,0,1
168,0,0,0,0,1
169,1,0,0,0,0
170,0,0,0,0,1
171,0,0,0,0,1
172,0,0,0,0,1
173,0,0,1,0,0
174,0,0,0,0,1
175,0,0,0,0,1
176,0,0,0,1,0
177,0,0,0,0,1
178,0,0,0,1,0
179,0,0,0,0,1
180,0,0,0,0,1
181,0,0,0,1,0
182,1,0,0,0,0
183,1,0,0,0,0
184,1,0,0,0,0
185,0,0,0,0,1
186,0,0,1,0,0
187,0,0,0,0,1
188,0,0,0,0,1
189,1,0,0,0,0
190,1,0,0,0,0
191,0,0,1,0,0
192,1,0,0,0,0
193,0,0,0,0,1
194,0,0,0,0,1
195,0,0,0,0,1
196,0,0,1,0,0
197,0,0,0,0,1
198,0,0,0,0,1
199,1,0,0,0,0
200,1,0,0,0,0
201,0,0,0,1,0
202,1,0,0,0,0
203,0,0,0,1,0
204,0,0,0,0,1
205,0,0,0,0,1
206,1,0,0,0,0
207,0,0,0,0,1
208,0,0,0,1,0
209,0,0,0,0,1
210,0,0,0,0,1
211,1,0,0,0,0
212,0,0,0,1,0
213,0,0,0,0,1
214,0,0,0,0,1
215,1,0,0,0,0
216,0,0,1,0,0
217,0,0,0,0,1
218,0,0,0,0,1
219,0,0,0,0,1
220,1,0,0,0,0
221,0,0,0,0,1
222,0,0,0,0,1
223,0,0,0,0,1
224,0,0,0,0,1
225,0,0,0,0,1
226,1,0,0,0,0
227,0,0,0,0,1
228,0,0,0,1,0
229,0,0,0,0,1
230,0,0,0,1,0
231,0,0,0,0,1
232,0,0,0,0,1
233,0,0,0,1,0
234,1,0,0,0,0
235,0,0,0,0,1
236,1,0,0,0,0
237,0,0,0,1,0
238,0,0,0,1,0
239,1,0,0,0,0
240,0,0,1,0,0
241,0,0,0,0,1
242,1,0,0,0,0
243,0,0,0,0,1
244,0,0,0,0,1
245,0,0,0,1,0
246,0,0,0,0,1
247,0,0,0,0,1
248,0,0,0,1,0
249,1,0,0,0,0
250,0,0,1,0,0
251,0,0,1,0,0
252,1,0,0,0,0
253,0,0,0,0,1
254,0,0,0,0,1
255,0,0,0,0,1
256,0,0,0,0,1
257,0,0,0,0,1
258,0,0,1,0,0
259,0,0,0,0,1
260,0,0,0,1,0
261,0,0,0,0,1
262,0,0,0,0,1
263,0,0,0,0,1
264,0,0,0,1,0
265,0,0,0,0,1
266,0,0,0,0,1
267,0,0,0,0,1
268,0,0,0,0,1
269,0,0,1,0,0
270,1,0,0,0,0
271,1,0,0,0,0
272,0,1,0,0,0
273,0,0,1,0,0
274,0,0,0,1,0
275,1,0,0,0,0
276,1,0,0,0,0
277,0,0,1,0,0
278,1,0,0,0,0
279,1,0,0,0,0
280,1,0,0,0,0
281,1,0,0,0,0
282,0,0,0,0,1
283,0,0,0,1,0
284,1,0,0,0,0
285,0,0,1,0,0
286,0,0,0,0,1
287,0,0,0,0,1
288,1,0,0,0,0
289,1,0,0,0,0
290,0,0,0,0,1
291,0,0,1,0,0
292,1,0,0,0,0
293,1,0,0,0,0
294,1,0,0,0,0
295,0,0,1,0,0
296,0,0,0,0,1
297,1,0,0,0,0
298,0,0,0,0,1
