,flexible,moderate,strict
0,0,1,0
1,0,0,1
2,0,0,1
3,1,0,0
4,0,0,1
5,0,0,1
6,0,1,0
7,0,0,1
8,0,0,1
9,0,0,1
10,0,1,0
11,0,0,1
12,0,1,0
13,0,0,1
14,0,0,1
15,0,0,1
16,0,1,0
17,0,1,0
18,1,0,0
19,1,0,0
20,1,0,0
21,0,1,0
22,1,0,0
23,1,0,0
24,0,1,0
25,0,0,1
26,1,0,0
27,0,0,1
28,0,1,0
29,0,0,1
30,0,0,1
31,0,0,1
32,1,0,0
33,0,0,1
34,0,0,1
35,0,1,0
36,0,0,1
37,1,0,0
38,0,1,0
39,1,0,0
40,0,1,0
41,0,0,1
42,0,1,0
43,0,1,0
44,1,0,0
45,1,0,0
46,0,0,1
47,0,1,0
48,0,1,0
49,0,1,0
50,0,1,0
51,1,0,0
52,0,1,0
53,1,0,0
54,0,0,1
55,0,1,0
56,1,0,0
57,0,1,0
58,0,1,0
59,0,1,0
60,1,0,0
61,0,0,1
62,1,0,0
63,0,0,1
64,0,1,0
65,0,0,1
66,0,1,0
67,0,0,1
68,1,0,0
69,1,0,0
70,1,0,0
71,1,0,0
72,0,0,1
73,0,1,0
74,1,0,0
75,0,1,0
76,0,1,0
77,1,0,0
78,0,1,0
79,1,0,0
80,0,0,1
81,0,1,0
82,0,0,1
83,1,0,0
84,0,0,1
85,0,0,1
86,0,1,0
87,1,0,0
88,0,1,0
89,0,0,1
90,1,0,0
91,0,0,1
92,0,1,0
93,0,1,0
94,0,0,1
95,1,0,0
96,0,1,0
97,0,0,1
98,1,0,0
99,0,0,1
100,0,1,0
101,0,1,0
102,0,1,0
103,0,0,1
104,0,1,0
105,0,0,1
106,0,0,1
107,0,1,0
108,1,0,0
109,0,1,0
110,0,1,0
111,1,0,0
112,0,1,0
113,0,1,0
114,0,0,1
115,0,1,0
116,1,0,0
117,1,0,0
118,1,0,0
119,0,1,0
120,0,1,0
121,1,0,0
122,0,0,1
123,0,0,1
124,1,0,0
125,0,0,1
126,0,1,0
127,0,1,0
128,0,1,0
129,0,1,0
130,0,1,0
131,0,1,0
132,1,0,0
133,0,1,0
134,0,1,0
135,0,1,0
136,0,1,0
137,0,0,1
138,0,1,0
139,0,0,1
140,0,0,1
141,0,0,1
142,0,0,1
143,0,1,0
144,1,0,0
145,1,0,0
146,1,0,0
147,0,0,1
148,0,1,0
149,0,0,1
150,1,0,0
151,0,1,0
152,0,1,0
153,0,1,0
154,1,0,0
155,0,1,0
156,0,1,0
157,1,0,0
158,0,0,1
159,0,0,1
160,1,0,0
161,0,1,0
162,0,0,1
163,0,0,1
164,1,0,0
165,0,0,1
166,0,0,1
167,0,1,0
168,1,0,0
169,0,1,0
170,1,0,0
171,1,0,0
172,1,0,0
173,0,0,1
174,1,0,0
175,0,0,1
176,1,0,0
177,1,0,0
178,0,1,0
179,1,0,0
180,1,0,0
181,0,1,0
182,0,1,0
183,1,0,0
184,0,0,1
185,0,0,1
186,0,1,0
187,0,0,1
188,0,1,0
189,1,0,0
190,1,0,0
191,0,1,0
192,1,0,0
193,1,0,0
194,1,0,0
195,0,0,1
196,0,1,0
197,1,0,0
198,0,1,0
199,1,0,0
200,1,0,0
201,1,0,0
202,0,0,1
203,0,1,0
204,0,1,0
205,0,1,0
206,1,0,0
207,0,0,1
208,0,0,1
209,0,1,0
210,0,0,1
211,0,1,0
212,0,1,0
213,0,0,1
214,0,1,0
215,0,0,1
216,0,0,1
217,0,1,0
218,0,1,0
219,0,0,1
220,0,0,1
221,0,0,1
222,0,1,0
223,0,1,0
224,0,1,0
225,1,0,0
226,0,0,1
227,0,1,0
228,0,0,1
229,1,0,0
230,0,1,0
231,0,0,1
232,0,1,0
233,0,1,0
234,0,0,1
235,0,0,1
236,1,0,0
237,1,0,0
238,1,0,0
239,0,1,0
240,0,0,1
241,0,0,1
242,1,0,0
243,0,1,0
244,0,0,1
245,0,0,1
246,1,0,0
247,0,1,0
248,0,0,1
249,0,0,1
250,0,1,0
251,1,0,0
252,0,1,0
253,1,0,0
254,0,1,0
255,0,0,1
256,0,0,1
257,1,0,0
258,1,0,0
259,1,0,0
260,0,1,0
261,0,1,0
262,0,1,0
263,0,0,1
264,1,0,0
265,0,0,1
266,0,0,1
267,0,0,1
268,0,1,0
269,0,0,1
270,0,1,0
271,1,0,0
272,0,1,0
273,1,0,0
274,0,1,0
275,0,0,1
276,0,1,0
277,0,0,1
278,0,0,1
279,0,1,0
280,0,0,1
281,0,1,0
282,0,0,1
283,1,0,0
284,0,0,1
285,0,1,0
286,0,1,0
287,0,0,1
288,0,1,0
289,0,1,0
290,0,0,1
291,0,1,0
292,0,1,0
293,0,0,1
294,0,1,0
295,0,1,0
296,0,0,1
297,0,0,1
298,1,0,0
299,0,0,1
300,0,0,1
301,0,0,1
302,0,1,0
303,0,0,1
304,0,1,0
305,1,0,0
306,0,0,1
307,0,1,0
308,1,0,0
309,0,1,0
310,0,1,0
311,0,1,0
312,1,0,0
313,1,0,0
314,1,0,0
315,0,0,1
316,1,0,0
317,0,1,0
318,0,0,1
319,1,0,0
320,0,0,1
321,0,0,1
322,1,0,0
323,0,0,1
324,0,1,0
325,1,0,0
326,1,0,0
327,0,1,0
328,1,0,0
329,1,0,0
330,0,0,1
331,0,0,1
332,0,0,1
333,1,0,0
334,0,0,1
335,1,0,0
336,0,0,1
337,0,1,0
338,0,1,0
339,0,0,1
340,0,0,1
341,1,0,0
342,0,1,0
343,1,0,0
344,0,1,0
345,1,0,0
346,0,0,1
347,1,0,0
348,1,0,0
349,0,0,1
350,0,0,1
351,0,1,0
352,0,1,0
353,1,0,0
354,0,0,1
355,0,1,0
356,0,1,0
357,0,0,1
358,0,0,1
359,0,0,1
360,0,1,0
361,0,0,1
362,1,0,0
363,1,0,0
364,0,0,1
365,0,1,0
366,0,0,1
367,0,1,0
368,0,0,1
369,0,0,1
370,1,0,0
371,0,0,1
372,0,0,1
373,1,0,0
374,1,0,0
375,0,0,1
376,0,0,1
377,0,0,1
378,0,0,1
379,1,0,0
380,0,0,1
381,1,0,0
382,0,1,0
383,1,0,0
384,1,0,0
385,0,1,0
386,1,0,0
387,0,0,1
388,0,1,0
389,0,0,1
390,0,1,0
391,0,0,1
392,1,0,0
393,0,0,1
394,0,1,0
395,0,0,1
396,1,0,0
397,1,0,0
398,0,0,1
399,0,0,1
400,1,0,0
401,0,0,1
402,0,0,1
403,0,0,1
404,0,0,1
405,0,0,1
406,1,0,0
407,0,1,0
408,0,1,0
409,0,0,1
410,0,0,1
411,1,0,0
412,0,1,0
413,0,1,0
414,0,0,1
415,0,1,0
416,1,0,0
417,1,0,0
418,0,0,1
419,1,0,0
420,0,0,1
421,0,0,1
422,0,0,1
423,0,0,1
424,0,1,0
425,0,1,0
426,1,0,0
427,0,1,0
428,1,0,0
429,0,0,1
430,0,0,1
431,1,0,0
432,0,0,1
433,1,0,0
434,0,1,0
435,0,0,1
436,0,0,1
437,0,1,0
438,0,1,0
439,0,0,1
440,0,1,0
441,1,0,0
442,1,0,0
443,0,1,0
444,0,0,1
445,0,0,1
446,0,1,0
447,0,0,1
448,0,1,0
449,1,0,0
450,1,0,0
451,1,0,0
452,0,0,1
453,0,1,0
454,0,1,0
455,0,1,0
456,0,1,0
457,1,0,0
458,1,0,0
459,0,1,0
460,0,1,0
461,0,0,1
462,0,1,0
463,1,0,0
464,0,1,0
465,0,0,1
466,0,0,1
467,1,0,0
468,0,0,1
469,0,0,1
470,0,1,0
471,1,0,0
472,1,0,0
473,0,1,0
474,0,1,0
475,1,0,0
476,0,0,1
477,0,1,0
478,1,0,0
479,0,0,1
480,1,0,0
481,1,0,0
482,0,0,1
483,1,0,0
484,1,0,0
485,0,1,0
486,0,1,0
487,0,0,1
488,1,0,0
489,1,0,0
490,0,1,0
